Date,Open,High,Low,Close,Adj Close,Volume
2017-07-13,50080.000000,50940.000000,50040.000000,50560.000000,44352.308594,16034150
2017-07-14,51000.000000,51080.000000,50420.000000,50480.000000,44282.140625,8239000
2017-07-17,50900.000000,51020.000000,50520.000000,50640.000000,44422.496094,8976100
2017-07-18,50420.000000,50880.000000,50360.000000,50840.000000,44597.937500,7084450
2017-07-19,50620.000000,50820.000000,50000.000000,50740.000000,44510.214844,11157500
2017-07-20,50760.000000,51320.000000,50560.000000,51200.000000,44913.738281,8367600
2017-07-21,50860.000000,51160.000000,50520.000000,51080.000000,44808.472656,8449050
2017-07-24,50700.000000,51000.000000,50620.000000,50860.000000,44615.484375,7099750
2017-07-25,50500.000000,50760.000000,49940.000000,50000.000000,43861.074219,10810600
2017-07-26,49600.000000,50020.000000,49300.000000,49840.000000,43720.718750,11224800
2017-07-27,50000.000000,50640.000000,49560.000000,49800.000000,43685.632813,11449500
2017-07-28,49800.000000,49800.000000,47380.000000,47760.000000,41896.093750,26168300
2017-07-31,47420.000000,48240.000000,46920.000000,48200.000000,42282.070313,12701400
2017-08-01,48000.000000,48840.000000,47540.000000,48600.000000,42632.964844,11369500
2017-08-02,49200.000000,49340.000000,48600.000000,49000.000000,42983.847656,7777450
2017-08-03,49000.000000,49000.000000,47120.000000,47780.000000,41913.636719,15540800
2017-08-04,48160.000000,48180.000000,47500.000000,47700.000000,41843.457031,8359200
2017-08-07,47500.000000,48080.000000,47440.000000,47580.000000,41738.199219,7218250
2017-08-08,47980.000000,48260.000000,47480.000000,47720.000000,41861.007813,7979600
2017-08-09,47400.000000,47400.000000,46240.000000,46280.000000,40597.804688,14555400
2017-08-10,46200.000000,46320.000000,45460.000000,45900.000000,40264.457031,22986150
2017-08-11,45120.000000,45300.000000,44220.000000,44620.000000,39141.617188,25407300
2017-08-14,45120.000000,45400.000000,44720.000000,45000.000000,39474.957031,19185600
2017-08-16,46220.000000,46380.000000,46000.000000,46200.000000,40527.628906,21913650
2017-08-17,46960.000000,47300.000000,46740.000000,47040.000000,41264.492188,12415850
2017-08-18,46760.000000,47240.000000,46240.000000,46900.000000,41141.683594,10477950
2017-08-21,47240.000000,47240.000000,46580.000000,46840.000000,41089.050781,5103450
2017-08-22,46820.000000,47160.000000,46700.000000,47000.000000,41229.414063,7381750
2017-08-23,47780.000000,47780.000000,47180.000000,47480.000000,41650.476563,9384700
2017-08-24,47520.000000,47660.000000,47340.000000,47520.000000,41685.566406,8657450
2017-08-25,47880.000000,47880.000000,46720.000000,47020.000000,41246.960938,11243550
2017-08-28,47020.000000,47240.000000,45960.000000,46100.000000,40439.902344,9962100
2017-08-29,45640.000000,46080.000000,45160.000000,46080.000000,40422.359375,12623650
